#Wed Jun 24 17:06:50 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               3               0
              38           7.208           8.284
              39           6.887           7.963
              40          -37.63           7.388
              41          -8.283           5.883
              42           21.97           9.316
              43           19.92           9.025
              44          -31.61           7.154
              45          -8.706           6.845
              46           4.872           8.244
              47           59.21           9.642
              48           -51.7           8.224
              49          -20.73           6.889
              50          -8.474           10.22
              51           10.48            5.87
              52          -38.26           7.937
              53           6.334           6.306
              54            30.3           6.155
              55           20.44           6.224
              56          -24.32           7.088
              57          -17.56           6.179
              58          0.6727           5.991
              59           21.73           7.794
              60          -4.936           6.637
              61         -0.1888            7.53
              62           18.46           6.253
              63           61.33           10.08
              64          -54.36           8.142
              65          -24.78           6.321
              66          -5.446           10.72
              67           10.42           7.823
              68          -35.89           8.431
              69           6.943           5.982
              70           19.18           9.056
              71           2.634           7.507
              72          -25.33           7.838
              73           8.042             5.6
              74            -1.5           8.475
              75           15.29           8.414
              76          -25.65           7.457
              77           -3.76           5.808
              78           26.95           8.358
              79           69.37           9.274
              80          -55.78           8.297
              81          -28.32           7.022
              82          -3.929           8.483
              83           9.336           5.671
              84          -33.78           8.684
              85          -1.262           6.615
              86           21.42            5.86
              87           21.49           6.014
              88          -21.38            7.46
              89          -21.22           6.796
              90           5.107           5.748
              91           33.44           7.696
              92          -28.69           7.101
              93         -0.2065           8.271
              94           17.24           5.897
              95            98.1           8.788
              96          -44.71           8.149
              97          -0.368           6.035
              98           7.876           9.838
              99           10.22           8.429
             100          -33.79           8.102
             101          -7.142           5.985
             102          -5.552           8.057
             103           7.921           7.644
             104          -32.18           7.309
             105          -7.049           6.676
             106            6.35           8.733
             107           29.59           9.261
             108          -11.62           6.787
             109           8.541           6.679
             110            37.9           9.715
             111           102.8           10.13
             112          -58.11           8.068
             113          -22.28           6.653
             114            3.97           7.658
             115           4.957           5.732
             116           -47.4           8.001
             117          -10.79            6.21
             118           24.88           5.632
             119           9.657           6.417
             120          -30.43           7.121
             121          -11.43           6.423
             122           7.094           5.951
             123           40.03           8.334
             124          -12.06           6.734
             125          -1.375           10.13
             126           37.16           6.623
             127           91.83           10.69
APV                2              13               3               3
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           44.87           8.788
               8          -48.66           8.696
               9          -49.61           6.631
              10          -9.183           8.647
              11           48.96           8.786
              12          -50.92           8.495
              13          -30.88           6.415
              14           23.69           7.864
              15           70.84           8.903
              16          -29.93           9.619
              17          -21.79            7.13
              18          -18.73           17.67
              19           35.04           7.572
              20          -44.29           8.581
              21          -37.29           7.031
              22          -27.05           8.792
              23           48.11           7.231
              24          -48.66           7.976
              25          -34.59           7.108
              26          -9.189           7.566
              27           85.75           8.007
              28          -28.97             7.3
              29          -35.83           8.536
              30           11.98           7.444
              31           83.06           8.628
              32          -49.78           9.845
              33           -44.3           7.248
              34          -8.023           7.878
              35           23.53           8.113
              36          -43.65           8.741
              37          -16.47           6.665
              38           7.253           8.494
              39           61.64           8.672
              40          -59.87           8.147
              41          -26.48           6.555
              42           2.855           8.797
              43           76.83           9.113
              44          -33.02           7.822
              45          -20.92           7.258
              46           16.37           7.419
              47           92.39           9.458
              48          -35.52           10.31
              49          -47.95           7.048
              50          -8.874           13.74
              51           33.25           7.304
              52          -53.97           8.516
              53          -20.98           6.835
              54          -12.07           8.217
              55           70.04           7.674
              56          -42.74           7.835
              57          -36.09            7.23
              58           2.632           7.308
              59            57.8           8.231
              60          -30.68            6.96
              61          -23.54           9.812
              62           20.35           7.064
              63             113            9.68
              64          -64.62           9.319
              65          -27.92           7.125
              66          -24.51           11.98
              67           28.83           9.001
              68          -40.04           8.807
              69          -27.79           6.631
              70           -11.7           9.018
              71           63.44             8.3
              72          -38.57           8.404
              73          -33.77           6.373
              74           7.147           7.788
              75           79.11           8.635
              76          -16.04           7.542
              77          -17.79           6.544
              78            39.3           7.777
              79           93.66           9.507
              80          -54.02           9.852
              81          -31.86           7.171
              82          -12.59           10.81
              83           40.42           6.901
              84          -56.84            8.69
              85          -31.24           6.928
              86          -18.88           7.561
              87           61.44           7.287
              88           -61.3           7.654
              89          -28.89           8.018
              90         -0.7297           7.147
              91           87.66           8.135
              92          -27.59           7.126
              93          -22.42           10.92
              94            25.1           7.051
              95           112.5           9.347
              96          -49.97           9.034
              97          -38.14            6.89
              98          -30.05           10.24
              99           41.89           8.848
             100          -38.77            8.57
             101          -31.52           6.614
             102         -0.9525           8.039
             103           69.06            8.33
             104           -60.5           8.086
             105          -19.91           7.294
             106           16.86           7.851
             107           88.29           9.292
             108          -30.61            7.12
             109          -21.17            6.97
             110           21.29           8.608
             111           133.9           9.909
             112          -39.59           9.564
             113          -17.29           6.865
             114          -23.58           10.11
             115           35.49           7.175
             116          -28.26           8.359
             117          -22.81           6.733
             118          -13.69            7.44
             119           73.59             7.7
             120          -32.36           7.514
             121           -25.8           7.758
             122           12.55           6.914
             123           83.37           8.586
             124          -20.49           6.868
             125          -63.76           13.25
             126           27.86           7.081
             127           126.1           10.15
APV                2              13               3               5
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           45.85           11.83
               8          -31.91           11.06
               9          -16.22           8.859
              10          -10.62           10.95
              11           61.82           12.91
              12          -55.17            11.3
              13          -20.27           8.784
              14           9.239            9.56
              15           83.46           13.05
              16          -12.29           10.98
              17          -19.92           9.351
              18          -33.04           18.03
              19           34.99           8.446
              20           -42.6           10.17
              21          -37.74           8.381
              22           -4.54           8.827
              23           36.62           9.132
              24             -60           9.535
              25          -28.85           8.231
              26          -8.652           8.078
              27           31.52           11.67
              28          -49.15           9.535
              29          -24.04           9.136
              30           9.822           8.409
              31           73.89           11.95
              32          -6.042           11.08
              33          -24.45           10.42
              34          -2.311           8.812
              35           23.37              12
              36           -35.1           10.34
              37          -24.78            9.12
              38           3.114           9.455
              39           50.01           11.69
              40          -47.32            10.4
              41           -23.6           8.007
              42           7.943           10.67
              43           66.23            13.3
              44          -37.54           10.27
              45          -28.03           8.737
              46           6.858           9.961
              47           76.86           13.23
              48           -18.8           10.42
              49          -25.42           8.694
              50          -6.831           12.65
              51           42.88           9.372
              52          -45.17           9.978
              53          -28.05           9.008
              54          -11.19           8.218
              55           25.78           10.55
              56           -47.5           9.185
              57          -42.37           8.769
              58          -17.12           7.798
              59           88.27           12.19
              60          -48.39           8.351
              61          -18.53           9.601
              62           7.612           7.948
              63           98.03            12.8
              64             -26           11.85
              65          -35.06           9.585
              66           5.226           12.19
              67           31.83           10.77
              68          -47.84              11
              69          -23.01           8.485
              70          -6.215           10.41
              71           30.23           11.71
              72          -69.17           10.95
              73          -7.541           9.214
              74          -7.645           9.518
              75           81.79           12.87
              76          -28.52           10.92
              77          -7.227           8.724
              78           23.69           9.053
              79           91.62              14
              80          -28.35           11.34
              81           -11.3           9.256
              82           -10.1           12.16
              83           20.13           8.072
              84          -12.18            10.6
              85          -28.76           8.381
              86          -7.388           7.937
              87           55.11           9.491
              88          -27.37            9.82
              89          -9.405            8.99
              90           10.76           7.886
              91           66.29           12.15
              92          -43.82           9.736
              93          -22.01           11.83
              94           26.88           8.033
              95           107.4           13.12
              96          -23.98           11.21
              97          -32.63           10.19
              98          -21.67            10.8
              99           34.03           11.79
             100           -44.8            10.3
             101          -27.64           8.553
             102          -17.13           9.011
             103           62.28           11.28
             104           -63.9           10.49
             105          -28.55           8.471
             106           1.781           9.802
             107              76           13.49
             108          -42.21           10.04
             109           -13.7           8.368
             110           33.97           11.37
             111           120.4           13.96
             112          -29.06           10.47
             113          -35.65           9.239
             114          -20.01           9.799
             115           33.87           9.526
             116          -36.45           9.897
             117          -32.35           8.921
             118          -19.39            7.92
             119           48.35            10.5
             120          -43.53            9.06
             121          -27.01           8.985
             122          -4.214            7.55
             123           75.25           12.37
             124          -43.73           8.302
             125           -18.9           12.47
             126            9.71           8.297
             127             148           14.17
APV                2              13               3               7
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           24.58           16.58
               8          -56.64           9.928
               9          -24.98           10.57
              10           15.02           15.31
              11           44.21           19.72
              12           -39.3           10.78
              13          -2.874           10.23
              14           15.43           13.38
              15            68.4           20.12
              16           15.69           9.634
              17          -27.83           9.539
              18          -8.485           37.58
              19          -3.749           7.597
              20          -35.89           9.567
              21          -20.44           11.58
              22           7.042            15.7
              23            42.4           11.12
              24          -48.37           8.705
              25          -28.65           11.63
              26           1.152           8.582
              27           43.71           15.41
              28          -38.78           8.766
              29          -28.11           15.93
              30           20.18           7.249
              31            71.6           18.88
              32          -30.16           9.717
              33          -24.55           12.42
              34           12.15           11.77
              35           31.46           17.92
              36           -46.8           9.639
              37          -27.74           12.69
              38          -7.703            13.6
              39           33.15           17.39
              40          -44.22           10.21
              41          -18.59           9.513
              42           13.61           15.59
              43           56.06           19.13
              44          -37.55           14.72
              45           -19.7           8.288
              46         -0.8479           11.51
              47           74.06           20.78
              48          -17.18           10.14
              49          -19.81           9.063
              50           10.78           26.44
              51           15.33            8.43
              52          -46.67           8.926
              53          -36.14           10.54
              54           5.529           11.72
              55           33.11           12.89
              56          -46.25           8.346
              57          -11.48           11.83
              58           3.874           7.573
              59           45.73           16.49
              60          -33.63           8.443
              61          -22.07           17.85
              62         -0.8085            7.48
              63            78.5           19.42
              64          -36.94           10.27
              65          -9.577           12.83
              66          -2.555           19.22
              67           11.91           18.67
              68          -54.94           10.36
              69          -15.33           12.51
              70           7.044           13.92
              71           48.46           17.04
              72          -44.06            10.9
              73          -28.08           10.55
              74           6.031           12.49
              75           43.73           18.06
              76          -33.57           13.75
              77          -17.22           9.842
              78           12.51           11.98
              79            91.2           20.77
              80          -25.94           9.638
              81          -24.34           10.17
              82          -13.11           22.76
              83           26.98           8.683
              84          -60.73           9.761
              85          -21.04            11.9
              86           9.329           12.53
              87           47.86           12.26
              88          -41.62           9.082
              89           -9.57           14.77
              90           3.707           8.029
              91              61           16.44
              92          -22.71           9.403
              93          -10.81            22.9
              94           14.94           7.213
              95           92.56           20.74
              96           -27.9           9.832
              97          -26.45           12.46
              98           1.552           16.01
              99           19.84           19.38
             100          -51.52           9.995
             101           -21.9           12.44
             102          -16.94            11.8
             103           44.38           17.18
             104          -44.99           12.15
             105          -3.268           8.596
             106            9.66           12.52
             107           59.66           19.52
             108          -7.042           12.88
             109          -15.21           8.388
             110           12.02           16.38
             111           72.75           22.59
             112          -47.77           9.124
             113          -47.91           9.851
             114           4.384           18.25
             115              18           9.272
             116          -53.52           9.454
             117              -6           11.86
             118           9.975           10.27
             119           44.39           13.65
             120          -42.66           9.007
             121           -25.4           14.61
             122           35.74           7.237
             123            58.6           18.33
             124          -11.91           9.028
             125          -11.37            27.7
             126            9.44           7.508
             127           129.4           21.88
APV                2              13               3               9
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           71.59           22.35
               8          -45.38           25.33
               9          -63.92            12.3
              10           11.56            10.4
              11           50.59           27.42
              12          -41.39           20.14
              13          -48.27           8.712
              14            42.2           12.91
              15           96.26            38.3
              16          -78.04           28.75
              17          -46.08           16.86
              18          -35.88           15.09
              19           57.46           14.66
              20           -75.7           28.34
              21          -33.61           14.36
              22           6.543           8.188
              23           67.25           21.52
              24          -46.71           22.39
              25          -53.61           10.41
              26            13.2           9.287
              27           63.39           29.74
              28          -27.14           17.37
              29           -60.5            8.74
              30           43.62           13.08
              31           101.1           41.27
              32          -60.45           29.98
              33          -47.64           17.18
              34          -25.46           8.482
              35           65.44           17.29
              36           -87.3           27.64
